e^(-βt)","x","cosx","","t","e^(-βt)*cosx","","","","","",""
"0.5","0","1","0","1","","0","1","","","","","",""
"","0.1","0.95122942450071","1","0.54030230586814","","0.1","0.51395145146736","","","","","",""
"","0.2","0.90483741803596","2","-0.41614683654714","","0.2","-0.37654522910515","","","","","",""
"","0.3","0.86070797642506","3","-0.98999249660045","","0.3","-0.85209443842496","","","","","",""
"","0.4","0.81873075307798","4","-0.65364362086361","","0.4","-0.53515813395428","","","","","",""
"","0.5","0.7788007830714","5","0.28366218546323","","0.5","0.22091633216651","","","","","",""
"","0.6","0.74081822068172","6","0.96017028665037","","0.6","0.71131164330778","","","","","",""
"","0.7","0.70468808971871","7","0.7539022543433","","0.7","0.53126593944781","","","","","",""
"","0.8","0.67032004603564","8","-0.14550003380861","","0.8","-0.097531589360777","","","","","",""
"","0.9","0.63762815162177","9","-0.91113026188468","","0.9","-0.58096230477219","","","","","",""
"","1","0.60653065971263","10","-0.83907152907645","","1","-0.50892260807683","","","","","",""
"","1.1","0.57694981038049","11","0.0044256979880508","","1.1","0.0025534056150072","","","","","",""
"","1.2","0.54881163609403","12","0.84385395873249","","1.2","0.4631168717164","","","","","",""
"","1.3","0.52204577676102","13","0.9074467814502","","1.3","0.47372875989145","","","","","",""
"","1.4","0.49658530379141","14","0.13673721820783","","1.4","0.067901693043329","","","","","",""
"","1.5","0.47236655274101","15","-0.75968791285882","","1.5","-0.35885116055614","","","","","",""
"","1.6","0.44932896411722","16","-0.95765948032338","","1.6","-0.43030414227074","","","","","",""
"","1.7","0.42741493194873","17","-0.2751633380516","","1.7","-0.11760891940811","","","","","",""
"","1.8","0.4065696597406","18","0.66031670824408","","1.8","0.26846473939183","","","","","",""
"","1.9","0.3867410234545","19","0.98870461818667","","1.9","0.3823726359317","","","","","",""
"","2","0.36787944117144","20","0.40808206181339","","2","0.150125000852","","","","","",""
"","2.1","0.34993774911116","21","-0.54772926022427","","2.1","-0.1916711444452","","","","","",""
"","2.2","0.33287108369808","22","-0.99996082639464","","2.2","-0.33285804393761","","","","","",""
"","2.3","0.31663676937905","23","-0.5328330203334","","2.3","-0.16871452617685","","","","","",""
"","2.4","0.3011942119122","24","0.424179007337","","2.4","0.12776026182457","","","","","",""
"","2.5","0.28650479686019","25","0.99120281186347","","2.5","0.28398436026019","","","","","",""
"","2.6","0.27253179303401","26","0.64691932232864","","2.6","0.17630608286257","","","","","",""
"","2.7","0.25924026064589","27","-0.29213880873384","","2.7","-0.07573414092094","","","","","",""
"","2.8","0.24659696394161","28","-0.96260586631357","","2.8","-0.23737568410531","","","","","",""
"","2.9","0.2345702880938","29","-0.748057529689","","2.9","-0.17547207024988","","","","","",""
"","3","0.22313016014843","30","0.15425144988758","","3","0.034418150716544","","","","","",""
"","3.1","0.21224797382674","31","0.91474235780453","","3.1","0.19415221201751","","","","","",""
"","3.2","0.20189651799466","32","0.83422336050651","","3.2","0.16842679171606","","","","","",""
"","3.3","0.19204990862075","33","-0.013276747223059","","3.3","-0.0025497980909694","","","","","",""
"","3.4","0.18268352405273","34","-0.84857027478461","","3.4","-0.15501980820405","","","","","",""
"","3.5","0.17377394345045","35","-0.90369220509151","","3.5","-0.15703815814418","","","","","",""
"","3.6","0.16529888822159","36","-0.1279636896274","","3.6","-0.021152255628142","","","","","",""
"","3.7","0.15723716631363","37","0.76541405194534","","3.7","0.12035153658452","","","","","",""
"","3.8","0.14956861922264","38","0.95507364404729","","3.8","0.14284904619608","","","","","",""
"","3.9","0.14227407158651","39","0.26664293235994","","3.9","0.037936375646616","","","","","",""
"","4","0.13533528323661","40","-0.66693806165226","","4","-0.090260251474986","","","","","",""
"","4.1","0.1287349035878","41","-0.98733927752383","","4.1","-0.12710502670048","","","","","",""
"","4.2","0.12245642825298","42","-0.39998531498835","","4.2","-0.048980773027117","","","","","",""
"","4.3","0.1164841577735","43","0.55511330152063","","4.3","0.064661905396495","","","","","",""
"","4.4","0.11080315836233","44","0.99984330864769","","4.4","0.11078579646561","","","","","",""
"","4.5","0.10539922456186","45","0.52532198881773","","4.5","0.055368530266685","","","","","",""
"","4.6","0.1002588437228","46","-0.43217794488478","","4.6","-0.043329661036645","","","","","",""
"","4.7","0.09536916221555","47","-0.99233546915093","","4.7","-0.094638202329698","","","","","",""
"","4.8","0.090717953289413","48","-0.6401443394692","","4.8","-0.058072584286449","","","","","",""
"","4.9","0.08629358649937","49","0.30059254374364","","4.9","0.025939208674607","","","","","",""
"","5","0.082084998623899","50","0.96496602849211","","5","0.079209235120884","","","","","",""
"","5.1","0.078081666001153","51","0.74215419681378","","5.1","0.057948636116968","","","","","",""
"","5.2","0.074273578214334","52","-0.16299078079571","","5.2","-0.012105908505645","","","","","",""
"","5.3","0.07065121306043","53","-0.91828278621212","","5.3","-0.064877792778397","","","","","",""
"","5.4","0.06720551273975","54","-0.82930983286315","","5.4","-0.055734192537684","","","","","",""
"","5.5","0.063927861206708","55","0.022126756261956","","5.5","0.001414516203269","","","","","",""
"","5.6","0.060810062625218","56","0.85322010772258","","5.6","0.051884368183706","","","","","",""
"","5.7","0.057844320874838","57","0.89986682696919","","5.7","0.052052185483829","","","","","",""
"","5.8","0.055023220056407","58","0.11918013544882","","5.8","0.0065576748191528","","","","","",""
"","5.9","0.052339705948432","59","-0.77108022297585","","5.9","-0.040358112133207","","","","","",""
"","6","0.049787068367864","60","-0.95241298041516","","6","-0.04741785017037","","","","","",""
"","6.1","0.047358924391141","61","-0.25810163593827","","6.1","-0.01222341586163","","","","","",""
